SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-25-2025,Single Family Residential,506 North Ave,Weston,MA,02493,2645000,5,5,Weston,5945,68389,2023,,445,,Sold,,,https://www.redfin.com/MA/Weston/506-North-Ave-02493/home/8776181,MLS PIN,73377790,N,Y,42.3988916,-71.3026351
PAST SALE,November-3-2025,Single Family Residential,15 Hobbs Brook Rd,Weston,MA,02493,1495000,3,2.5,Weston,2685,40210,1968,,557,,Sold,,,https://www.redfin.com/MA/Weston/15-Hobbs-Brook-Rd-02493/home/8782342,MLS PIN,73425192,N,Y,42.3788775,-71.2803622
PAST SALE,November-10-2025,Single Family Residential,32 Intervale Rd,Weston,MA,02493,2299000,4,3.5,Weston,4200,102253,2003,,547,,Sold,,,https://www.redfin.com/MA/Weston/32-Intervale-Rd-02493/home/8794057,MLS PIN,73414556,N,Y,42.3322032,-71.2731404
PAST SALE,October-22-2025,Single Family Residential,54 Woodchester Dr,Weston,MA,02493,2600000,4,3.5,Weston,4130,47011,2004,,630,,Sold,,,https://www.redfin.com/MA/Weston/54-Woodchester-Dr-02493/home/8792267,MLS PIN,73423861,N,Y,42.3266672,-71.3050372
PAST SALE,March-31-2025,Single Family Residential,11 Trailside Rd,Weston,MA,02493,2395000,5,4,Weston,4321,80038,1976,,554,,Sold,,,https://www.redfin.com/MA/Weston/11-Trailside-Rd-02493/home/8788363,MLS PIN,73332335,N,Y,42.3412324,-71.2929547
PAST SALE,June-30-2025,Single Family Residential,47 School St,Weston,MA,02493,1880000,5,3.5,Weston,3956,99320,1850,,475,,Sold,,,https://www.redfin.com/MA/Weston/47-School-St-02493/home/8784078,MLS PIN,73353964,N,Y,42.3646981,-71.29529
PAST SALE,December-23-2025,Single Family Residential,120 Church St,Weston,MA,02493,1705000,3,3,Weston,3252,46226,1928,,524,,Sold,,,https://www.redfin.com/MA/Weston/120-Church-St-02493/home/8781891,MLS PIN,73444149,N,Y,42.3759533,-71.2883257
PAST SALE,May-29-2025,Single Family Residential,30 Trailside Rd,Weston,MA,02493,2550000,4,2.5,Weston,4071,82651,1975,,626,,Sold,,,https://www.redfin.com/MA/Weston/30-Trailside-Rd-02493/home/8788358,MLS PIN,73342435,N,Y,42.3411081,-71.2906028
PAST SALE,March-22-2025,Single Family Residential,55 Spruce Hill Rd,Weston,MA,02493,1895000,4,2.5,Weston,2898,60548,1956,,654,,Sold,,,https://www.redfin.com/MA/Weston/55-Spruce-Hill-Rd-02493/home/8778718,MLS PIN,73332930,N,Y,42.3918462,-71.2871339
PAST SALE,November-21-2025,Single Family Residential,48 Golden Ball Rd,Weston,MA,02493,1275000,3,2.5,Weston,1800,9583,1920,,708,,Sold,,,https://www.redfin.com/MA/Weston/48-Golden-Ball-Rd-02493/home/8784061,MLS PIN,73434992,N,Y,42.3618623,-71.3096773
PAST SALE,August-4-2025,Single Family Residential,12 Granison Rd,Weston,MA,02493,1450000,3,2.5,Weston,2741,91476,1937,,529,,Sold,,,https://www.redfin.com/MA/Weston/12-Granison-Rd-02493/home/11803731,MLS PIN,73368912,N,Y,42.3966875,-71.3001445
PAST SALE,July-31-2025,Single Family Residential,72 Brook Rd,Weston,MA,02493,1535000,3,2,Weston,2290,34700,1950,,670,,Sold,,,https://www.redfin.com/MA/Weston/72-Brook-Rd-02493/home/8780226,MLS PIN,73375594,N,Y,42.3859776,-71.2916202
PAST SALE,July-18-2025,Single Family Residential,173 Country Dr,Weston,MA,02493,2800000,4,3.5,Weston,3234,98445,1967,,866,,Sold,,,https://www.redfin.com/MA/Weston/173-Country-Dr-02493/home/8788872,MLS PIN,73354425,N,Y,42.3380387,-71.3275128
PAST SALE,,Condo/Co-op,5 Upham Way,Weston,MA,02493,1459000,3,2.5,,2222,,1996,,657,,,,,https://www.redfin.com/MA/Weston/5-Upham-Way-02493/home/8790176,,,N,Y,42.3334878,-71.3151462
